"check_kind","check_name","observed","expected","passed"
"accounting_identity","2022/2023.1 coalition A+B closure","1335319505//109413508","1335319505//109413508",true
"accounting_identity","2022/2023.1 member votes","53490123","53490123",true
"accounting_identity","2022/2023.1 calendar days","255","255",true
"accounting_identity","2022/2023.2 member A equals district A_C","56143484573086938469349516899041985183580179292612617128655577265051619436565937757480151554314583225152160389434865239373246309550885303179616238923//3181961346273535241721103193224232464425940292805283632379495340432504254173000474042040386186735430059004774138725472230954824495051717157497802600","56143484573086938469349516899041985183580179292612617128655577265051619436565937757480151554314583225152160389434865239373246309550885303179616238923//3181961346273535241721103193224232464425940292805283632379495340432504254173000474042040386186735430059004774138725472230954824495051717157497802600",true
"accounting_identity","2022/2023.2 member B equals district B_C","445406374037796929151897860740165463441662560740333823949647664705966585333951814825574282875288027138875861817562708276373443893266347420493822763047801279//87037388304047554589583464500166276135081833408593310788405743116593631918497905187650644532591366617661089831816408141436338384381984253906405771189380200","445406374037796929151897860740165463441662560740333823949647664705966585333951814825574282875288027138875861817562708276373443893266347420493822763047801279//87037388304047554589583464500166276135081833408593310788405743116593631918497905187650644532591366617661089831816408141436338384381984253906405771189380200",true
"accounting_identity","2022/2023.2 coalition A+B closure","2490439145//109413508","2490439145//109413508",true
"accounting_identity","2022/2023.2 member votes","69793935","69793935",true
"accounting_identity","2022/2023.2 calendar days","82","82",true
"accounting_identity","2022/2023.3 member A equals district A_C","16614937989166654003128564368846860599107222907407136592509260266026379921717890480037578273723572470373473133390730158749355954366933638575344411717//1060653782091178413907034397741410821475313430935094544126498446810834751391000158014013462062245143353001591379575157410318274831683905719165934200","16614937989166654003128564368846860599107222907407136592509260266026379921717890480037578273723572470373473133390730158749355954366933638575344411717//1060653782091178413907034397741410821475313430935094544126498446810834751391000158014013462062245143353001591379575157410318274831683905719165934200",true
"accounting_identity","2022/2023.3 member B equals district B_C","132933023574732865683749500288842155498590837299853414492609785441295738584915551639607047421559990960757006657439972097958493702611068433750573984252480491//29012462768015851529861154833388758711693944469531103596135247705531210639499301729216881510863788872553696610605469380478779461460661417968801923729793400","132933023574732865683749500288842155498590837299853414492609785441295738584915551639607047421559990960757006657439972097958493702611068433750573984252480491//29012462768015851529861154833388758711693944469531103596135247705531210639499301729216881510863788872553696610605469380478779461460661417968801923729793400",true
"accounting_identity","2022/2023.3 coalition A+B closure","553816614//27353377","553816614//27353377",true
"accounting_identity","2022/2023.3 member votes","73102996","73102996",true
"accounting_identity","2022/2023.3 calendar days","2","2",true
